tarieven.json — bouwrapport
gegenereerd : 2026-07-16 door build_tarieven.py v1.0
tariefjaar  : 2026
zones       : 26

Geen fouten, geen waarschuwingen.

Overzicht LS vs MS (EUR/MWh volumetrisch, EUR/kW/jaar capaciteit):

  zone           sp     volum.  maandpiek   toegang
  AIEG           LS      40.54     162.12     81.06
  AIEG           MS      16.59      29.00     14.50
  Antwerpen      LS      50.50      49.40      0.00
  Antwerpen      MS       4.14      54.30     33.66
  Halle-Vilv.    LS      53.18      56.04      0.00
  Halle-Vilv.    MS       4.14      60.14     37.11
  Imewo          LS      52.29      54.20      0.00
  Imewo          MS       3.92      54.23     36.11
  Kempen         LS      59.78      56.21      0.00
  Kempen         MS       4.22      46.86     31.57
  Limburg        LS      54.27      49.05      0.00
  Limburg        MS       4.59      48.91     30.41
  Midden-Vl.     LS      49.81      50.12      0.00
  Midden-Vl.     MS       3.79      50.45     35.18
  ORES           LS      31.23      84.54     42.27
  ORES           MS      15.29      33.53     16.77
  RESA           LS      46.19      97.47     48.73
  RESA           MS      14.99      46.40     23.20
  REW            LS      34.99     100.26     50.13
  REW            MS      12.77      82.10     41.05
  Sibelga        LS      81.74      66.87      0.00
  Sibelga        MS      35.51      59.98      0.00
  West           LS      63.19      57.10      0.00
  West           MS       4.22      59.76     41.64
  Zenne-Dijle    LS      55.39      56.12      0.00
  Zenne-Dijle    MS       4.23      59.86     40.68
